# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	62556
#@/user_id	3341f95e-2102-4b54-a91e-f7eb6dfaf9d9
bie bie bie 	別別別	c=4 d=1 t=61759
bie dai 	別帶	c=1 d=1 t=61863
bie de 	別的	c=22 d=1.00107 t=54575
bie de shi er le 	別的事兒了	c=1 d=1 t=31521
bie deng wo le 	別等我了	c=1 d=1 t=52884
bie duo xiang 	別多項	c=1 d=1 t=52501
bie e ren 	別惡人	c=1 d=1 t=48027
bie gen wo shuo 	別跟我說	c=1 d=1 t=9664
bie guan ta 	別管他	c=1 d=1 t=11799
bie hui lai le 	別回來了	c=1 d=1 t=8482
bie kan 	別看	c=1 d=1 t=58367
bie kao wo 	別考我	c=1 d=1 t=2260
bie lai 	別來	c=2 d=1 t=28914
bie lang 	別浪	c=1 d=1 t=30790
bie le 	別了	c=2 d=1.99501 t=56198
bie li 	別離	c=0 d=0.1 t=52889
bie li wo 	別離我	c=1 d=1 t=52890
bie mai 	別買	c=1 d=1 t=47423
bie mai le 	別買了	c=3 d=1.99005 t=51272
bie nao 	別鬧	c=6 d=1 t=45561
bie nao le 	別鬧了	c=1 d=1 t=25840
bie niu 	彆扭	c=0 d=0.1 t=21123
bie niu a 	彆扭啊	c=1 d=1 t=21124
bie qu 	別去	c=0 d=0.1 t=11165
bie ren 	別人	c=27 d=0.1 t=61764
bie ren de 	別人的	c=2 d=1 t=54307
bie shuo 	別說	c=0 d=0.1 t=20813
bie xia lai 	別下來	c=1 d=1 t=1440
bie xia shuo 	別瞎說	c=1 d=1 t=46795
bie yong 	別用	c=3 d=1 t=47745
bie you 	別有	c=3 d=1 t=19057
bie zai 	別再	c=1 d=1 t=24749
bie zhao ji 	別着急	c=1 d=1 t=10381
bie zhao wo 	別找我	c=1 d=1 t=52878
bie zhu le 	憋住了	c=1 d=1 t=1705
bin 	斌	c=2 d=1 t=60190
bing 	並	c=4 d=1 t=25442
bing 	冰	c=3 d=1 t=53740
bing 	餅	c=5 d=1.03728 t=9979
bing bao 	冰雹	c=1 d=1 t=17830
bing bu 	並不	c=4 d=1.99005 t=57577
bing bu dong 	並不動	c=1 d=1 t=1593
bing bu hui 	並不會	c=2 d=1 t=49994
bing bu neng kan dao 	並不能看到	c=1 d=1 t=26039
bing bu shi 	並不是	c=11 d=1 t=51642
bing bu zai 	並不在	c=1 d=1 t=25698
bing bu zhi shi 	並不只是	c=1 d=1 t=44489
bing du 	病毒	c=1 d=1 t=2679
bing gan 	餅乾	c=0 d=0.1 t=2476
bing ji ling 	冰激凌	c=38 d=1.9802 t=61223
bing ji ling ji 	冰激凌機	c=1 d=1 t=58479
bing ji ling zhan 	冰激凌站	c=4 d=1 t=56411
bing mei 	並沒	c=0 d=0.1 t=41601
bing mei hai you 	並沒還有	c=1 d=1 t=41602
bing mei you 	並沒有	c=7 d=1 t=28466
bing qi 	兵器	c=3 d=1 t=37240
bing qie 	並且	c=82 d=1 t=61781
bing shui 	冰水	c=1 d=1 t=15056
bing si 	餅絲	c=1 d=1 t=7166
bing xian 	併線	c=1 d=1 t=38855
bing xiang 	冰箱	c=5 d=2.94624 t=53343
bo 	剝	c=1 d=1 t=56918
bo 	博	c=4 d=1 t=46879
bo 	波	c=2 d=0.1 t=30026
bo cai 	菠菜	c=1 d=1 t=36020
bo dong 	波動	c=1 d=1 t=7652
bo duan 	波段	c=2 d=1.79453 t=21031
bo fang 	播放	c=3 d=1.00001 t=32824
bo fang qi 	播放器	c=1 d=1 t=30489
